case_id,total_duration_seconds,scanner_count,unavailable_count
case_001,2.757451,5,3
case_002,1.721203,5,3
case_003,2.607757,5,3
case_004,1.67035,5,3
case_005,1.982579,5,3
case_006,1.804912,5,3
case_007,2.189163,5,3
case_008,1.865588,5,3
case_009,2.050555,5,3
case_010,1.962257,5,3
case_011,2.623944,5,3
case_012,1.880734,5,3
case_013,2.153778,5,3
case_014,1.713984,5,3
case_015,2.150816,5,3
case_016,1.638919,5,3
case_017,1.965518,5,3
case_018,1.792814,5,3
case_019,2.383882,5,3
case_020,1.953494,5,3
case_021,2.322032,5,3
case_022,2.024116,5,3
case_023,2.598466,5,3
case_024,2.300934,5,3
case_025,2.192768,5,3
case_026,1.908158,5,3
case_027,3.30928,5,3
case_028,2.365801,5,3
case_029,2.427076,5,3
case_030,2.17128,5,3
case_031,2.226915,5,3
case_032,2.580978,5,3
case_033,2.082049,5,3
case_034,2.468049,5,3
case_035,2.404825,5,3
case_036,2.130286,5,3
case_037,2.058199,5,3
case_038,2.22799,5,3
case_039,0.0,5,3
case_040,0.0,5,3
case_041,0.0,5,3
case_042,0.0,5,3
case_043,0.0,5,3
case_044,0.0,5,3
case_045,2.62415,5,3
case_046,2.153812,5,3
case_047,2.092482,5,3
case_048,1.742814,5,3
case_049,2.158203,5,3
case_050,1.772661,5,3
